Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
I13470	I13470_ERS8208099	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13470_ERS8208099_L1_R1.fastq.gz	NA	NA
I12905	I12905_ERS8208068	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12905_ERS8208068_L1_R1.fastq.gz	NA	NA
I12905	I12905_ERS8208067	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12905_ERS8208067_L1_R1.fastq.gz	NA	NA
I12907	I12907_ERS8208072	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12907_ERS8208072_L1_R1.fastq.gz	NA	NA
I12906	I12906_ERS8208070	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12906_ERS8208070_L1_R1.fastq.gz	NA	NA
I12907	I12907_ERS8208071	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12907_ERS8208071_L1_R1.fastq.gz	NA	NA
I13720	I13720_ERS8208152	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I13720_ERS8208152_L1_R1.fastq.gz	NA	NA
I17258	I17258_ERS8208723	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17258_ERS8208723_L1_R1.fastq.gz	NA	NA
I17258	I17258_ERS8208724	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17258_ERS8208724_L1_R1.fastq.gz	NA	NA
I13717	I13717_ERS8208150	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13717_ERS8208150_L1_R1.fastq.gz	NA	NA
I13717	I13717_ERS8208149	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13717_ERS8208149_L1_R1.fastq.gz	NA	NA
I13720	I13720_ERS8208151	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I13720_ERS8208151_L1_R1.fastq.gz	NA	NA
I13728	I13728_ERS8208158	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13728_ERS8208158_L1_R1.fastq.gz	NA	NA
I13726	I13726_ERS8208154	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13726_ERS8208154_L1_R1.fastq.gz	NA	NA
I13716	I13716_ERS8208148	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13716_ERS8208148_L1_R1.fastq.gz	NA	NA
I17259	I17259_ERS8208725	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17259_ERS8208725_L1_R1.fastq.gz	NA	NA
I13714	I13714_ERS8208146	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13714_ERS8208146_L1_R1.fastq.gz	NA	NA
I17259	I17259_ERS8208726	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17259_ERS8208726_L1_R1.fastq.gz	NA	NA
I13727	I13727_ERS8208155	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13727_ERS8208155_L1_R1.fastq.gz	NA	NA
I13726	I13726_ERS8208153	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13726_ERS8208153_L1_R1.fastq.gz	NA	NA
I13728	I13728_ERS8208157	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13728_ERS8208157_L1_R1.fastq.gz	NA	NA
I13716	I13716_ERS8208147	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13716_ERS8208147_L1_R1.fastq.gz	NA	NA
I13727	I13727_ERS8208156	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13727_ERS8208156_L1_R1.fastq.gz	NA	NA
I16792	I16792_ERS8208703	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16792_ERS8208703_L1_R1.fastq.gz	NA	NA
I13786	I13786_ERS8208193	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13786_ERS8208193_L1_R1.fastq.gz	NA	NA
I13780	I13780_ERS8208187	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13780_ERS8208187_L1_R1.fastq.gz	NA	NA
I13780	I13780_ERS8208188	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13780_ERS8208188_L1_R1.fastq.gz	NA	NA
I13760	I13760_ERS8208185	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I13760_ERS8208185_L1_R1.fastq.gz	NA	NA
I17145	I17145_ERS8208720	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I17145_ERS8208720_L1_R1.fastq.gz	NA	NA
I13787	I13787_ERS8208195	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13787_ERS8208195_L1_R1.fastq.gz	NA	NA
I15042	I15042_ERS8208422	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15042_ERS8208422_L1_R1.fastq.gz	NA	NA
I15044	I15044_ERS8208426	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15044_ERS8208426_L1_R1.fastq.gz	NA	NA
I13783	I13783_ERS8208191	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13783_ERS8208191_L1_R1.fastq.gz	NA	NA
I13781	I13781_ERS8208190	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13781_ERS8208190_L1_R1.fastq.gz	NA	NA
I13760	I13760_ERS8208186	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I13760_ERS8208186_L1_R1.fastq.gz	NA	NA
I13781	I13781_ERS8208189	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13781_ERS8208189_L1_R1.fastq.gz	NA	NA
I13786	I13786_ERS8208194	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13786_ERS8208194_L1_R1.fastq.gz	NA	NA
I13783	I13783_ERS8208192	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13783_ERS8208192_L1_R1.fastq.gz	NA	NA
I14097	I14097_ERS8208239	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14097_ERS8208239_L1_R1.fastq.gz	NA	NA
I14096	I14096_ERS8208238	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14096_ERS8208238_L1_R1.fastq.gz	NA	NA
I14104	I14104_ERS8208251	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14104_ERS8208251_L1_R1.fastq.gz	NA	NA
I14099	I14099_ERS8208241	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14099_ERS8208241_L1_R1.fastq.gz	NA	NA
I14102	I14102_ERS8208247	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14102_ERS8208247_L1_R1.fastq.gz	NA	NA
I14104	I14104_ERS8208252	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14104_ERS8208252_L1_R1.fastq.gz	NA	NA
I1391	I1391_ERS8208236	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I1391_ERS8208236_L1_R1.fastq.gz	NA	NA
I14101	I14101_ERS8208245	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14101_ERS8208245_L1_R1.fastq.gz	NA	NA
I14100	I14100_ERS8208243	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14100_ERS8208243_L1_R1.fastq.gz	NA	NA
I14099	I14099_ERS8208242	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I14099_ERS8208242_L1_R1.fastq.gz	NA	NA
I13027	I13027_ERS8208089	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13027_ERS8208089_L1_R1.fastq.gz	NA	NA
